Business,Category,Wholesale Sales,Avg Wholesale Price,Avg Retail Price With Tax,Avg Markup With Tax,License
Green Haven LLC        [ÿproductÿdetailsÿ],Preroll 1.25g,2375,2.5,10.43,4.2x,421941
Bbb Farms        [ÿproductÿdetailsÿ],Flower 1.0g,1580,2.5,8.04,3.2x,412601
Emerald Twist        [ÿproductÿdetailsÿ],Flower 1.0g,1125,2.5,9.29,3.7x,414323
Mother's Other Garden        [ÿproductÿdetailsÿ],Flower 1.0g,1150,2.5,7.3,2.9x,417320
Zenta Garden        [ÿproductÿdetailsÿ],Flower 1.0g,2601,2.5,8.8,3.5x,423681
Brightside Farms        [ÿproductÿdetailsÿ],Flower 1.0g,1181,2.5,8.28,3.3x,424327
Pioneer Farm        [ÿproductÿdetailsÿ],Flower 2.0g,1680,2.5,9.87,3.9x,416106
Wow Weed        [ÿproductÿdetailsÿ],Infused,1768,2.5,7.88,3.2x,413038
Momma Chan        [ÿproductÿdetailsÿ],Flower 1.0g,2718,2.51,8.34,3.3x,417150
Lopez And Orr Co        [ÿproductÿdetailsÿ],Flower 1.0g,2716,2.51,6.95,2.8x,417295
Seattle Pure Extracts        [ÿproductÿdetailsÿ],Infused,2892,2.51,10.84,4.3x,425696
Evergreen Nirvana        [ÿproductÿdetailsÿ],Flower 1.0g,1038,2.52,8.42,3.3x,412263
Double Delicious        [ÿproductÿdetailsÿ],Flower 1.0g,3732,2.52,7.75,3.1x,414462
Sasquatch Cannabis Company        [ÿproductÿdetailsÿ],Flower 1.0g,3490,2.52,6.82,2.7x,416561
Capital Green        [ÿproductÿdetailsÿ],Flower 1.0g,3118,2.54,9.56,3.8x,416196
Emerald Evolution        [ÿproductÿdetailsÿ],Preroll 0.75g,2382,2.56,5.85,2.3x,412392
